set title "Comparaison des temps d'execution" 
set xlabel "Nbr éléments" 
set ylabel "Temps d'execution (s)" 
plot "matrice_elem_unique.txt" using 1:2 title "Algo2" with lines lc rgb "blue" lw 1.5 
set term png
set output "vitesse_elem_uniq.png"
replot "matrice_elem_unique.txt" using 1:3 title "Algo3" with lines lc rgb "red" lw 1.5

# Nb. element,	Temps1,	Temps2
1,	0.000002,	0.000072
4,	0.000001,	0.000053
9,	0.000002,	0.000052
16,	0.000004,	0.000052
25,	0.000005,	0.000052
36,	0.000009,	0.000052
49,	0.000014,	0.000053
64,	0.000022,	0.000059
81,	0.000044,	0.000055
100,	0.000048,	0.000053
121,	0.000069,	0.000053
144,	0.000046,	0.000057
169,	0.000041,	0.000053
196,	0.000036,	0.000053
225,	0.000024,	0.000053
256,	0.000052,	0.000053
289,	0.000086,	0.000054
324,	0.000024,	0.000055
361,	0.000026,	0.000053
400,	0.000052,	0.000052
441,	0.000079,	0.000054
484,	0.000055,	0.000056
529,	0.000008,	0.000053
576,	0.000003,	0.000052
625,	0.000030,	0.000053
676,	0.000181,	0.000055
729,	0.000098,	0.000053
784,	0.000043,	0.000053
841,	0.000074,	0.000052
900,	0.000003,	0.000057
961,	0.000094,	0.000054
1024,	0.000030,	0.000056
1089,	0.000028,	0.000053
1156,	0.000069,	0.000054
1225,	0.000005,	0.000064
1296,	0.000059,	0.000055
1369,	0.000099,	0.000055
1444,	0.000009,	0.000056
1521,	0.000005,	0.000053
1600,	0.000062,	0.000055
1681,	0.000026,	0.000052
1764,	0.000022,	0.000055
1849,	0.000017,	0.000054
1936,	0.000127,	0.000056
2025,	0.000006,	0.000054
2116,	0.000111,	0.000056
2209,	0.000018,	0.000053
2304,	0.000096,	0.000056
2401,	0.000019,	0.000052
2500,	0.000032,	0.000056
2601,	0.000017,	0.000054
2704,	0.000118,	0.000055
2809,	0.000045,	0.000053
2916,	0.000110,	0.000056
3025,	0.000007,	0.000053
3136,	0.000078,	0.000057
3249,	0.000032,	0.000052
3364,	0.000006,	0.000056
3481,	0.000005,	0.000055
3600,	0.000022,	0.000037
3721,	0.000009,	0.000035
3844,	0.000031,	0.000036
3969,	0.000013,	0.000035
4096,	0.000049,	0.000044
4225,	0.000027,	0.000035
4356,	0.000060,	0.000037
4489,	0.000017,	0.000034
4624,	0.000002,	0.000035
4761,	0.000057,	0.000033
4900,	0.000102,	0.000042
5041,	0.000015,	0.000051
5184,	0.000015,	0.000039
5329,	0.000013,	0.000027
5476,	0.000126,	0.000027
5625,	0.000008,	0.000026
5776,	0.000010,	0.000027
5929,	0.000030,	0.000025
6084,	0.000038,	0.000036
6241,	0.000002,	0.000025
6400,	0.000095,	0.000027
6561,	0.000008,	0.000025
6724,	0.000018,	0.000028
6889,	0.000036,	0.000026
7056,	0.000023,	0.000033
7225,	0.000019,	0.000026
7396,	0.000009,	0.000026
7569,	0.000074,	0.000026
7744,	0.000026,	0.000027
7921,	0.000005,	0.000027
8100,	0.000005,	0.000026
8281,	0.000013,	0.000025
8464,	0.000003,	0.000027
8649,	0.000019,	0.000025
8836,	0.000020,	0.000027
9025,	0.000015,	0.000026
9216,	0.000020,	0.000031
9409,	0.000005,	0.000026
9604,	0.000016,	0.000027
9801,	0.000004,	0.000026
10000,	0.000126,	0.000030
10201,	0.000036,	0.000000
10404,	0.000009,	0.000001
10609,	0.000007,	0.000000
10816,	0.000001,	0.000000
11025,	0.000014,	0.000000
11236,	0.000007,	0.000001
11449,	0.000007,	0.000000
11664,	0.000008,	0.000001
11881,	0.000069,	0.000001
12100,	0.000017,	0.000001
