set title "Comparaison des temps d'execution" 
set xlabel "Nbr éléments" 
set ylabel "Temps d'execution (s)" 
plot "produit_matrice.txt" using 1:2 title "Algo1" with lines lc rgb "blue" lw 1.5 
set term png
set output "produit_matrice_carre.png"
replot "produit_matrice.txt" using 1:3 title "Algo2" with lines lc rgb "red" lw 1.5

# Nb. element,	Temps1,	Temps2
4,	0.000002,	0.000001
9,	0.000001,	0.000002
16,	0.000001,	0.000001
25,	0.000002,	0.000002
36,	0.000004,	0.000002
49,	0.000003,	0.000002
64,	0.000005,	0.000003
81,	0.000006,	0.000003
100,	0.000007,	0.000006
121,	0.000009,	0.000005
144,	0.000013,	0.000006
169,	0.000013,	0.000007
196,	0.000018,	0.000009
225,	0.000021,	0.000011
256,	0.000027,	0.000014
289,	0.000031,	0.000014
324,	0.000035,	0.000015
361,	0.000040,	0.000018
400,	0.000047,	0.000021
441,	0.000055,	0.000023
484,	0.000062,	0.000026
529,	0.000071,	0.000035
576,	0.000061,	0.000025
625,	0.000069,	0.000029
676,	0.000077,	0.000032
729,	0.000086,	0.000035
784,	0.000095,	0.000040
841,	0.000105,	0.000042
900,	0.000122,	0.000048
961,	0.000184,	0.000052
1024,	0.000147,	0.000057
1089,	0.000161,	0.000060
1156,	0.000176,	0.000067
1225,	0.000190,	0.000072
1296,	0.000207,	0.000078
1369,	0.000223,	0.000083
1444,	0.000243,	0.000093
1521,	0.000261,	0.000097
1600,	0.000279,	0.000106
1681,	0.000301,	0.000111
1764,	0.000323,	0.000120
1849,	0.000375,	0.000129
1936,	0.000370,	0.000137
2025,	0.000396,	0.000146
2116,	0.000424,	0.000156
2209,	0.000458,	0.000166
2304,	0.000478,	0.000178
2401,	0.000537,	0.000180
2500,	0.000521,	0.000193
2601,	0.000552,	0.000202
2704,	0.000585,	0.000217
2809,	0.000618,	0.000227
2916,	0.000711,	0.000239
3025,	0.000693,	0.000250
3136,	0.000747,	0.000267
3249,	0.000767,	0.000315
3364,	0.000911,	0.000295
3481,	0.000846,	0.000308
3600,	0.000891,	0.000326
3721,	0.000958,	0.000338
3844,	0.001053,	0.000369
3969,	0.001138,	0.000384
4096,	0.001086,	0.000391
4225,	0.001140,	0.000409
4356,	0.001222,	0.000431
4489,	0.001522,	0.000580
4624,	0.001392,	0.000551
4761,	0.001356,	0.000489
4900,	0.001456,	0.000516
5041,	0.001477,	0.000535
5184,	0.001568,	0.000558
5329,	0.001619,	0.000612
5476,	0.001670,	0.000604
5625,	0.001759,	0.000630
5776,	0.001909,	0.000674
5929,	0.002050,	0.000806
6084,	0.002343,	0.000710
6241,	0.002055,	0.000732
6400,	0.002132,	0.000864
6561,	0.002331,	0.000890
6724,	0.002319,	0.000814
6889,	0.002403,	0.000863
7056,	0.002456,	0.000893
7225,	0.002598,	0.000906
7396,	0.002747,	0.000937
7569,	0.002906,	0.001023
7744,	0.002978,	0.001062
7921,	0.003110,	0.001126
8100,	0.003260,	0.001145
8281,	0.003280,	0.001130
8464,	0.003377,	0.001169
8649,	0.003638,	0.001295
8836,	0.003606,	0.001248
9025,	0.003654,	0.001351
9216,	0.003649,	0.001390
9409,	0.003782,	0.001316
9604,	0.003912,	0.001390
9801,	0.003992,	0.001400
10000,	0.004137,	0.001445
10201,	0.004343,	0.001487
10404,	0.004392,	0.001641
10609,	0.004879,	0.001676
10816,	0.004864,	0.001713
11025,	0.005082,	0.001766
11236,	0.005180,	0.001811
11449,	0.005763,	0.001899
11664,	0.005480,	0.001913
11881,	0.005915,	0.001878
12100,	0.005550,	0.002005
12321,	0.006131,	0.002002
12544,	0.005789,	0.002119
12769,	0.006039,	0.002241
12996,	0.006564,	0.002129
13225,	0.006493,	0.002309
13456,	0.006482,	0.002298
13689,	0.006681,	0.002283
13924,	0.006737,	0.002743
14161,	0.007682,	0.002670
14400,	0.007761,	0.002666
14641,	0.007573,	0.002594
14884,	0.007781,	0.002708
15129,	0.007976,	0.002784
15376,	0.008001,	0.002815
15625,	0.008793,	0.003088
15876,	0.010363,	0.003533
16129,	0.010821,	0.003614
16384,	0.009456,	0.003172
16641,	0.009205,	0.003188
16900,	0.009352,	0.003241
17161,	0.009985,	0.003402
17424,	0.009782,	0.003409
17689,	0.009714,	0.003434
17956,	0.009891,	0.003503
18225,	0.010851,	0.003750
18496,	0.011050,	0.003760
18769,	0.011339,	0.003972
19044,	0.011293,	0.003902
19321,	0.012012,	0.004199
19600,	0.012330,	0.004312
19881,	0.012656,	0.004258
20164,	0.012737,	0.004391
20449,	0.012655,	0.004396
20736,	0.013219,	0.004564
21025,	0.013220,	0.004576
21316,	0.013227,	0.004636
21609,	0.014158,	0.004836
21904,	0.015048,	0.005055
22201,	0.014734,	0.005079
22500,	0.014909,	0.005223
22801,	0.014533,	0.005026
23104,	0.015304,	0.005032
23409,	0.014879,	0.005049
23716,	0.015473,	0.005396
24025,	0.015466,	0.005268
24336,	0.015721,	0.005404
24649,	0.016037,	0.005603
24964,	0.017813,	0.005775
25281,	0.018205,	0.006793
25600,	0.018002,	0.006267
25921,	0.018580,	0.006448
26244,	0.019110,	0.005977
26569,	0.018403,	0.006833
26896,	0.019087,	0.006232
27225,	0.018701,	0.006459
27556,	0.019461,	0.006524
27889,	0.019444,	0.006552
28224,	0.023302,	0.007394
28561,	0.021241,	0.007636
28900,	0.020626,	0.008064
29241,	0.022460,	0.007446
29584,	0.021757,	0.007168
29929,	0.021498,	0.007384
30276,	0.022208,	0.007552
30625,	0.022698,	0.007815
30976,	0.023603,	0.007889
31329,	0.023557,	0.008049
31684,	0.024598,	0.008369
32041,	0.023993,	0.007994
32400,	0.024479,	0.008245
32761,	0.026184,	0.008895
33124,	0.026338,	0.008763
33489,	0.026837,	0.009048
33856,	0.027910,	0.009263
34225,	0.027046,	0.008995
34596,	0.027178,	0.009875
34969,	0.028947,	0.009223
35344,	0.029288,	0.009883
35721,	0.030677,	0.010040
36100,	0.034213,	0.010952
36481,	0.036214,	0.011357
36864,	0.031620,	0.010075
37249,	0.032928,	0.010683
37636,	0.033300,	0.010653
38025,	0.033318,	0.010758
38416,	0.034695,	0.010781
38809,	0.034227,	0.011376
39204,	0.035912,	0.011388
39601,	0.034645,	0.011166
