set title "Comparaison des temps d'execution" 
set xlabel "Taille tableau" 
set ylabel "Temps d'execution (s)" 
plot "sortie_vitesse.txt" using 1:2 title "Algo1" with lines lc rgb "blue" lw 1.5 
replot "sortie_vitesse.txt" using 1:3 title "Algo2" with lines lc rgb "green" lw 1.5, "sortie_vitesse.txt" using 1:4 title "Algo3" with lines lc rgb "red" lw 3 
set term postscript portrait 
set output "01_courbes_vitesse.jpg"

# Taille tableau,	Temps1,	Temps2,	Temps3
1,	0.000002,	0.000001,	0.000000
101,	0.000037,	0.000019,	0.000001
201,	0.000143,	0.000073,	0.000002
301,	0.000319,	0.000161,	0.000002
401,	0.000437,	0.000204,	0.000001
501,	0.000632,	0.000318,	0.000002
601,	0.001024,	0.000463,	0.000002
701,	0.001699,	0.000641,	0.000002
801,	0.001640,	0.001287,	0.000004
901,	0.003241,	0.001605,	0.000004
1001,	0.003481,	0.001291,	0.000003
1101,	0.003095,	0.001528,	0.000004
1201,	0.003684,	0.001842,	0.000004
1301,	0.004298,	0.002151,	0.000004
1401,	0.005271,	0.002469,	0.000004
1501,	0.005841,	0.002969,	0.000005
1601,	0.006454,	0.003223,	0.000005
1701,	0.007344,	0.003895,	0.000016
1801,	0.008708,	0.004323,	0.000006
1901,	0.009616,	0.005168,	0.000006
2001,	0.010366,	0.005197,	0.000007
2101,	0.011490,	0.005789,	0.000007
2201,	0.012401,	0.006638,	0.000007
2301,	0.014103,	0.007047,	0.000008
2401,	0.015326,	0.007267,	0.000008
2501,	0.015863,	0.007947,	0.000008
2601,	0.017271,	0.008680,	0.000008
2701,	0.018601,	0.009214,	0.000009
2801,	0.021346,	0.010520,	0.000010
2901,	0.021990,	0.011274,	0.000009
3001,	0.024489,	0.011937,	0.000009
3101,	0.025583,	0.012846,	0.000010
3201,	0.027267,	0.013206,	0.000010
3301,	0.028037,	0.014126,	0.000010
3401,	0.029242,	0.015057,	0.000014
3501,	0.032498,	0.016297,	0.000012
3601,	0.034473,	0.017222,	0.000021
3701,	0.036093,	0.018282,	0.000012
3801,	0.037230,	0.018945,	0.000028
3901,	0.040739,	0.019776,	0.000012
4001,	0.040762,	0.020378,	0.000012
4101,	0.044926,	0.022283,	0.000013
4201,	0.045384,	0.022488,	0.000013
4301,	0.047671,	0.024119,	0.000014
4401,	0.049969,	0.025208,	0.000014
4501,	0.053741,	0.026731,	0.000014
4601,	0.053899,	0.028713,	0.000015
4701,	0.058517,	0.028417,	0.000015
4801,	0.058334,	0.029556,	0.000015
4901,	0.061466,	0.032015,	0.000016
5001,	0.066447,	0.032930,	0.000015
5101,	0.068027,	0.034457,	0.000016
5201,	0.070542,	0.034879,	0.000016
5301,	0.074501,	0.035870,	0.000016
5401,	0.074287,	0.037492,	0.000017
5501,	0.078188,	0.039917,	0.000017
5601,	0.081604,	0.041838,	0.000018
5701,	0.084616,	0.040992,	0.000018
5801,	0.087081,	0.044770,	0.000018
5901,	0.092587,	0.044462,	0.000018
6001,	0.094240,	0.056924,	0.000019
6101,	0.098337,	0.049570,	0.000019
6201,	0.101970,	0.051637,	0.000020
6301,	0.106761,	0.053165,	0.000021
6401,	0.108583,	0.054602,	0.000024
6501,	0.110134,	0.054526,	0.000020
6601,	0.114499,	0.057079,	0.000020
6701,	0.117547,	0.058830,	0.000021
6801,	0.120793,	0.061417,	0.000021
6901,	0.123833,	0.061949,	0.000021
7001,	0.130876,	0.065653,	0.000022
7101,	0.132735,	0.066638,	0.000023
7201,	0.137567,	0.065873,	0.000021
7301,	0.136621,	0.069317,	0.000023
7401,	0.146043,	0.071194,	0.000023
7501,	0.147586,	0.071590,	0.000022
7601,	0.150524,	0.079080,	0.000023
7701,	0.155281,	0.078997,	0.000025
7801,	0.155899,	0.079033,	0.000024
7901,	0.165063,	0.082174,	0.000024
8001,	0.170297,	0.083916,	0.000026
8101,	0.172381,	0.086344,	0.000026
8201,	0.177468,	0.088731,	0.000026
8301,	0.179207,	0.090818,	0.000025
8401,	0.183878,	0.090043,	0.000025
8501,	0.191471,	0.094138,	0.000026
8601,	0.192376,	0.098782,	0.000027
8701,	0.200070,	0.099728,	0.000028
8801,	0.205928,	0.101493,	0.000028
8901,	0.207147,	0.104305,	0.000028
9001,	0.211336,	0.105467,	0.000027
9101,	0.218468,	0.107519,	0.000028
9201,	0.221464,	0.112580,	0.000029
9301,	0.225167,	0.110258,	0.000028
9401,	0.231860,	0.115120,	0.000028
9501,	0.233130,	0.119182,	0.000029
9601,	0.255680,	0.118492,	0.000034
9701,	0.243651,	0.122480,	0.000030
9801,	0.253716,	0.126635,	0.000040
9901,	0.254652,	0.128177,	0.000031
10001,	0.261151,	0.129674,	0.000031
